district,from,gender,to,year,week
thoothukkudi,christian,M,hindu,2011,33
thoothukkudi,christian,F,hindu,2011,33
theni,hindu,F,christian,2011,33
vellore,hindu,F,christian,2011,33
kanyakumari,christian,M,hindu,2011,33
thoothukkudi,hindu,F,islam,2011,33
the nilgiris,hindu,M,christian,2011,33
villupuram,christian,F,hindu,2011,33
villupuram,christian,M,hindu,2011,33
salem,hindu,M,christian,2011,33
chennai,christian,M,hindu,2011,33
chennai,christian,M,hindu,2011,33
tirunelveli,hindu,M,christian,2011,33
ramanathapuram,christian,M,hindu,2011,33
thoothukkudi,UNK,M,UNK,2011,33
vellore,christian,F,hindu,2011,33
villupuram,hindu,F,islam,2011,33
chennai,hindu,F,islam,2011,33
namakkal,hindu,F,christian,2011,33
kancheepuram,christian,F,hindu,2011,33
tirunelveli,UNK,M,UNK,2011,33
kancheepuram,christian,M,hindu,2011,33
dindigul,christian,M,hindu,2011,33
chennai,hindu,F,islam,2011,33
dindigul,christian,M,hindu,2011,33
chennai,christian,M,hindu,2011,33
tirunelveli,christian,M,islam,2011,33
kancheepuram,hindu,F,christian,2011,33
chennai,hindu,M,islam,2011,33
madurai,hindu,F,islam,2011,33
thiruvannamalai,hindu,M,christian,2011,33
thiruvannamalai,hindu,F,islam,2011,33
tiruvallur,hindu,M,christian,2011,33
tirunelveli,hindu,M,christian,2011,33
tiruppur,hindu,F,christian,2011,33
tiruchirappalli,hindu,M,islam,2011,33
thanjavur,christian,M,hindu,2011,33
UNK,christian,F,hindu,2011,33
thanjavur,christian,M,hindu,2011,33
the nilgiris,hindu,M,islam,2011,33
tiruppur,hindu,M,christian,2011,33
UNK,hindu,F,islam,2011,33
UNK,christian,M,hindu,2011,33
chennai,hindu,M,islam,2011,33
madurai,hindu,M,islam,2011,33
madurai,hindu,M,christian,2011,33
chennai,hindu,M,christian,2011,33
tirunelveli,UNK,M,UNK,2011,33
thoothukkudi,christian,M,hindu,2011,33
namakkal,hindu,M,christian,2011,33
villupuram,hindu,M,islam,2011,33
thoothukkudi,christian,M,hindu,2011,33
thoothukkudi,christian,M,hindu,2011,33
chennai,hindu,F,islam,2011,33
tiruchirappalli,christian,F,hindu,2011,33
dharmapuri,islam,F,hindu,2011,33
tirunelveli,hindu,M,christian,2011,33
chennai,hindu,F,christian,2011,33
tiruvallur,hindu,M,islam,2011,33
chennai,islam,M,hindu,2011,33
virudhunagar,hindu,M,christian,2011,33
chennai,hindu,F,christian,2011,33
kancheepuram,hindu,M,christian,2011,33
chennai,hindu,F,islam,2011,33
