from,to,year,week
christian,islam,2014,2
hindu,christianity,2014,2
hindu,islam,2014,2
hindu,islam,2014,2
islam,islam,2014,2
hindu,christianity,2014,37
hindu,islam,2014,37
hindu,islam,2014,37
christian,hindu,2014,37
hindu,islam,2014,37
islam,christianity,2014,37
hindu,islam,2014,37
hindu,islam,2014,37
hindu,islam,2014,37
hindu,christianity,2014,37
hindu,islam,2014,1
hindu,christianity,2014,1
hindu,islam,2014,1
hindu,christianity,2014,1
christian,islam,2014,1
hindu,christianity,2014,30
hindu,christianity,2014,30
hindu,islam,2014,30
hindu,christianity,2014,30
hindu,islam,2014,30
hindu,christianity,2014,30
hindu,christianity,2014,38
hindu,islam,2014,38
christian,islam,2014,38
islam,hindu,2014,38
hindu,islam,2014,38
islam,islam,2014,38
christian,hindu,2014,38
hindu,christianity,2014,38
hindu,christianity,2014,33
hindu,christianity,2014,33
hindu,christianity,2014,33
hindu,islam,2014,33
hindu,islam,2014,33
christian,hindu,2014,33
hindu,christianity,2014,33
hindu,christianity,2014,33
hindu,islam,2014,33
hindu,islam,2014,3
hindu,christianity,2014,3
christian,hindu,2014,3
hindu,christianity,2014,3
hindu,christianity,2014,3
christian,islam,2014,3
hindu,islam,2014,3
hindu,islam,2014,3
christian,hindu,2014,3
hindu,christianity,2014,17
hindu,christianity,2014,17
hindu,christianity,2014,17
hindu,christianity,2014,17
hindu,christianity,2014,17
hindu,islam,2014,12
hindu,islam,2014,12
christian,hindu,2014,12
hindu,islam,2014,12
christian,hindu,2014,12
christian,hindu,2014,12
hindu,islam,2014,12
hindu,christianity,2014,12
islam,hindu,2014,12
hindu,islam,2014,12
hindu,christianity,2014,27
hindu,christianity,2014,27
hindu,christianity,2014,27
hindu,christianity,2014,27
hindu,islam,2014,27
hindu,christianity,2014,27
christian,hindu,2014,27
hindu,islam,2014,24
hindu,christianity,2014,24
hindu,christianity,2014,24
hindu,islam,2014,24
christian,hindu,2014,24
hindu,christianity,2014,24
hindu,islam,2014,24
christian,islam,2014,24
hindu,islam,2014,42
hindu,christianity,2014,42
hindu,islam,2014,42
hindu,christianity,2014,42
hindu,islam,2014,42
hindu,christianity,2014,16
hindu,islam,2014,16
hindu,islam,2014,16
hindu,christianity,2014,16
hindu,islam,2014,50
