district,from,gender,to,year,week
chennai,hindu,M,christian,2010,40
pondicherry,hindu,F,christian,2010,40
tiruchirappalli,christian,F,hindu,2010,40
coimbatore,hindu,M,islam,2010,40
vellore,hindu,M,christian,2010,40
tirunelveli,hindu,F,christian,2010,40
thanjavur,christian,F,hindu,2010,40
kancheepuram,christian,F,hindu,2010,40
villupuram,christian,M,hindu,2010,40
chennai,hindu,M,islam,2010,40
chennai,hindu,F,christian,2010,40
coimbatore,hindu,M,christian,2010,40
chennai,hindu,F,christian,2010,40
tirunelveli,hindu,F,christian,2010,40
chennai,hindu,F,christian,2010,40
sivagangai,hindu,M,christian,2010,40
chennai,hindu,M,christian,2010,40
thoothukkudi,christian,F,hindu,2010,40
chennai,hindu,M,christian,2010,40
cuddalore,hindu,M,christian,2010,40
tiruvallur,hindu,M,christian,2010,40
chennai,christian,F,hindu,2010,40
tiruvallur,hindu,F,islam,2010,40
chennai,hindu,M,christian,2010,40
perambalur,christian,M,islam,2010,40
chennai,hindu,M,christian,2010,40
villupuram,hindu,M,islam,2010,40
krishnagiri,hindu,M,christian,2010,40
villupuram,hindu,M,islam,2010,40
kanyakumari,hindu,M,christian,2010,40
ramanathapuram,hindu,M,islam,2010,40
coimbatore,hindu,M,christian,2010,40
UNK,hindu,F,islam,2010,40
thanjavur,hindu,M,christian,2010,40
salem,hindu,M,islam,2010,40
chennai,christian,F,hindu,2010,40
tiruvallur,hindu,M,christian,2010,40
virudhunagar,hindu,F,islam,2010,40
thanjavur,christian,F,islam,2010,40
erode,hindu,M,christian,2010,40
erode,hindu,F,christian,2010,40
tiruppur,hindu,M,christian,2010,40
thoothukkudi,hindu,M,christian,2010,40
ramanathapuram,hindu,F,islam,2010,40
chennai,hindu,M,christian,2010,40
chennai,hindu,F,islam,2010,40
ramanathapuram,hindu,F,islam,2010,40
tiruchirappalli,hindu,M,christian,2010,40
thiruvannamalai,hindu,F,islam,2010,40
sivagangai,hindu,F,christian,2010,40
thiruvannamalai,hindu,F,islam,2010,40
madurai,hindu,F,islam,2010,40
kancheepuram,hindu,M,christian,2010,40
tirunelveli,hindu,M,islam,2010,40
chennai,christian,F,islam,2010,40
thanjavur,christian,M,islam,2010,40
krishnagiri,islam,M,hindu,2010,40
krishnagiri,islam,F,hindu,2010,40
chennai,hindu,M,islam,2010,40
kancheepuram,hindu,F,christian,2010,40
tiruchirappalli,hindu,F,islam,2010,40
pudukkottai,islam,F,hindu,2010,40
pudukkottai,islam,M,hindu,2010,40
chennai,islam,F,hindu,2010,40
dharmapuri,islam,F,christian,2010,40
the nilgiris,hindu,M,islam,2010,29
coimbatore,islam,M,hindu,2010,29
coimbatore,hindu,M,islam,2010,29
ramanathapuram,hindu,F,christian,2010,29
tiruchirappalli,hindu,F,islam,2010,29
virudhunagar,UNK,M,UNK,2010,29
chennai,hindu,M,islam,2010,29
kanyakumari,hindu,M,islam,2010,29
cuddalore,islam,F,hindu,2010,29
kancheepuram,hindu,M,christian,2010,29
ramanathapuram,hindu,F,islam,2010,29
virudhunagar,hindu,F,christian,2010,29
erode,hindu,F,islam,2010,29
chennai,hindu,M,islam,2010,29
coimbatore,christian,F,islam,2010,29
tiruchirappalli,hindu,F,islam,2010,29
chennai,islam,F,hindu,2010,29
theni,hindu,M,islam,2010,29
madurai,christian,F,hindu,2010,29
sivagangai,hindu,M,christian,2010,29
vellore,hindu,F,islam,2010,29
villupuram,hindu,F,islam,2010,29
tiruchirappalli,hindu,F,christian,2010,29
karur,christian,M,hindu,2010,29
chennai,hindu,F,islam,2010,29
thoothukkudi,christian,F,hindu,2010,29
ramanathapuram,christian,F,hindu,2010,29
chennai,hindu,M,christian,2010,29
tiruvallur,christian,M,hindu,2010,29
cuddalore,christian,M,hindu,2010,29
chennai,hindu,M,christian,2010,29
chennai,hindu,M,islam,2010,29
madurai,hindu,F,islam,2010,29
madurai,hindu,M,islam,2010,29
madurai,hindu,F,islam,2010,29
kancheepuram,christian,F,hindu,2010,29
chennai,hindu,F,islam,2010,29
kancheepuram,hindu,M,islam,2010,29
thiruvannamalai,hindu,F,islam,2010,29
tirunelveli,hindu,F,islam,2010,29
puthukkottai,hindu,M,islam,2010,29
tiruppur,hindu,F,islam,2010,29
vellore,hindu,M,christian,2010,29
chennai,hindu,F,islam,2010,29
vellore,hindu,F,christian,2010,29
villupuram,hindu,M,islam,2010,29
tirunelveli,hindu,M,islam,2010,29
kancheepuram,hindu,F,christian,2010,29
kancheepuram,hindu,M,christian,2010,29
kancheepuram,hindu,F,christian,2010,29
kancheepuram,hindu,M,christian,2010,29
karur,hindu,M,christian,2010,29
cuddalore,hindu,M,christian,2010,29
thenilgiris,hindu,F,islam,2010,29
sivagangai,islam,F,hindu,2010,29
thiruvannamalai,hindu,M,christian,2010,29
erode,hindu,F,islam,2010,29
kancheepuram,christian,M,hindu,2010,29
tiruchirappalli,christian,M,hindu,2010,29
