from,to,year,week
hindu,islam,2019,29
hindu,islam,2019,29
hindu,christianity,2019,29
hindu,christianity,2019,29
hindu,islam,2019,27
hindu,islam,2019,27
hindu,islam,2019,27
hindu,islam,2019,27
hindu,christianity,2019,27
hindu,christianity,2019,19
christian,hindu,2019,19
hindu,christianity,2019,19
hindu,islam,2019,8
hindu,islam,2019,8
hindu,islam,2019,8
hindu,christianity,2019,8
christian,islam,2019,8
hindu,islam,2019,37
hindu,christianity,2019,37
hindu,christianity,2019,37
hindu,christianity,2019,37
hindu,islam,2019,37
hindu,christianity,2019,37
hindu,islam,2019,37
hindu,islam,2019,20
hindu,christianity,2019,20
hindu,christianity,2019,20
hindu,christianity,2019,20
christian,islam,2019,22
hindu,islam,2019,22
hindu,islam,2019,22
hindu,islam,2019,22
christian,islam,2019,40
hindu,islam,2019,40
hindu,christianity,2019,40
hindu,islam,2019,40
hindu,christianity,2019,40
hindu,christianity,2019,40
hindu,islam,2019,40
christian,hindu,2019,1
hindu,islam,2019,1
hindu,christianity,2019,1
hindu,islam,2019,1
hindu,christianity,2019,1
hindu,christianity,2019,1
christian,hindu,2019,35
hindu,christianity,2019,35
hindu,islam,2019,35
hindu,christianity,2019,35
hindu,islam,2019,35
hindu,islam,2019,13
hindu,islam,2019,13
hindu,islam,2019,13
hindu,islam,2019,13
islam,hindu,2019,13
christian,hindu,2019,3
hindu,islam,2019,3
hindu,islam,2019,3
hindu,christianity,2019,3
hindu,islam,2019,3
hindu,christianity,2019,18
christian,islam,2019,18
islam,hindu,2019,18
hindu,islam,2019,34
hindu,islam,2019,34
islam,christianity,2019,34
hindu,christianity,2019,34
christian,islam,2019,38
hindu,christianity,2019,38
islam,hindu,2019,38
hindu,islam,2019,38
hindu,islam,2019,38
hindu,islam,2019,7
hindu,islam,2019,7
hindu,islam,2019,7
hindu,christianity,2019,7
hindu,islam,2019,7
hindu,islam,2019,4
christian,hindu,2019,4
islam,hindu,2019,31
hindu,islam,2019,31
hindu,islam,2019,31
hindu,islam,2019,31
hindu,christianity,2019,31
hindu,islam,2019,17
islam,hindu,2019,17
hindu,islam,2019,17
hindu,islam,2019,16
christian,islam,2019,16
islam,hindu,2019,16
hindu,christianity,2019,16
hindu,christianity,2019,10
christian,hindu,2019,10
islam,hindu,2019,10
hindu,islam,2019,10
hindu,islam,2019,10
hindu,islam,2019,10
