district,from,gender,to,year,week
ramanathapuram,hindu,M,christian,2015,42
madurai,hindu,F,islam,2015,42
tiruchirappalli,christian,F,hindu,2015,42
tiruchirappalli,christian,M,hindu,2015,42
thoothukkudi,christian,F,islam,2015,42
bengaluru-karnataka,christian,F,hindu,2015,42
madurai,hindu,F,islam,2015,42
tirucirappalli,christian,F,hindu,2015,42
ramanathapuram,hindu,F,islam,2015,42
tiruchirappalli,hindu,F,christian,2015,42
madurai,hindu,F,islam,2015,42
tiruchirapalli,christian,F,islam,2015,42
tiruchirappalli,christian,F,hindu,2015,42
karur,hindu,F,islam,2015,42
tiruchirappalli,christian,M,hindu,2015,42
tiruchirappalli,hindu,F,islam,2015,42
thanjavur,hindu,F,islam,2015,42
virudhunagar,christian,F,hindu,2015,42
tiruchirappalli,hindu,M,christian,2015,42
chennai,hindu,M,hindu,2015,42
perambalur,hindu,M,islam,2015,42
chennai,islam,F,hindu,2015,42
thiruvarur,hindu,F,islam,2015,42
tiruchirappalli,hindu,F,islam,2015,42
thanjavur,hindu,F,islam,2015,42
chennai,hindu,M,christian,2015,42
villupuram,hindu,F,islam,2015,42
sivagangai,hindu,F,christian,2015,42
villupuram,hindu,M,christian,2015,42
sivagangai,hindu,M,christian,2015,42
virudhunagar,christian,F,hindu,2015,42
nagapattinam,hindu,F,islam,2015,42
cuddalore,hindu,F,islam,2015,42
namakkal,hindu,F,islam,2015,42
coimbatore,christian,F,hindu,2015,42
namakkal,hindu,M,islam,2015,42
coimbatore,christian,M,hindu,2015,42
salem,hindu,F,christian,2015,42
salem,hindu,F,islam,2015,42
tiruppur,christian,F,hindu,2015,42
thanjavur,hindu,F,islam,2015,42
erode,hindu,M,christian,2015,42
namakkal,hindu,M,islam,2015,42
thiruvarur,hindu,M,islam,2015,42
ramanathapuram,hindu,F,islam,2015,42
coimbatore,hindu,F,christian,2015,42
tiruppur,hindu,M,christian,2015,42
coimbatore,hindu,M,islam,2015,42
ramanathapuram,hindu,F,islam,2015,42
chennai,hindu,F,islam,2015,42
coimbatore,islam,M,hindu,2015,42
dindigul,hindu,M,christian,2015,42
virudhunagar,hindu,M,islam,2015,42
chennai,hindu,F,islam,2015,42
sivagangai,hindu,M,christian,2015,42
villupuram,UNK,F,UNK,2015,42
ariyalur,hindu,F,islam,2015,42
chennai,hindu,M,islam,2015,42
chennai,hindu,F,christian,2015,42
